metabolite	tgt_proteins_ngene	tgt_proteins_indrg	tgt_proteins_pvalue	tgt_proteins_padj	tgt_proteins_overlap	ss_metabolites_ngene	ss_metabolites_indrg	ss_metabolites_pvalue	ss_metabolites_padj	ss_metabolites_overlap	co_metabolites_ngene	co_metabolites_indrg	co_metabolites_pvalue	co_metabolites_padj	co_metabolites_overlap
1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	0	0	NA	NA	NA	0	0	NA	NA	NA	438	13	4.26448777887474e-07	6.39673166831211e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
2-deoxyadenosine	0	0	NA	NA	NA	3591	40	6.53482062891358e-07	2.41788363269802e-06	XBP1/EFS/CXCL6/IFNG/IL4/MLH1/IL6/KDR/PIKFYVE/STAT3/MTRR/ICAM1/ABCB1/FGF7/FCGR2A/IL18/CCL5/CXCL16/MST1R/LRRK2/IL13/APLN/FGA/IL8/F2/ADIPOQ/MMP1/VIPR1/NR1I2/CXCL9/FCGR3A/VEGFA/TLR4/HSPA1B/THBD/CDX2/JAK2/TNF/IL10/GC	438	7	0.00768014063632569	0.0110334414775383	CXCL6/CCL5/CXCL16/APLN/IL8/PRF1/CXCL9
2-hydroxy-3-methylpentanoic acid /  leucinic acid	0	0	NA	NA	NA	0	0	NA	NA	NA	1070	22	2.35939082619666e-08	1.415634495718e-07	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
2-hydroxyhexadecanoate	0	0	NA	NA	NA	1	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
2-hydroxymyristic acid	0	0	NA	NA	NA	1	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
2-hydroxyphenethylamine	0	0	NA	NA	NA	23	0	NA	NA	NA	175	4	0.0129400334416821	0.0167073849500199	VIPR1/PTGS2/CDX2/IL10
3-methyladipate-pimelate	0	0	NA	NA	NA	0	0	NA	NA	NA	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
4-methylcatechol	63	6	8.82872619746565e-07	1.14773440567053e-06	IFNG/STAT3/IL18/IL6/IL10/IL17A	9	0	NA	NA	NA	438	13	4.26448777887474e-07	6.39673166831211e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
5-acetylamino-6-amino-3-methyluracil	0	0	NA	NA	NA	2	0	NA	NA	NA	438	13	4.26448777887474e-07	6.39673166831211e-07	PON1/CXCL6/CRP/IL6/ICAM1/PON3/CCL5/CXCL16/APLN/IL8/ADIPOQ/CXCL9/CHRNA7
5alpha-cholestanol	0	0	NA	NA	NA	55	2	0.0328427917878129	0.0357406851808552	TLR2/ESR2	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
7-ketodeoxycholate	0	0	NA	NA	NA	273	12	1.77569280217408e-08	1.31401267360882e-07	PON1/IL6/STAT3/ABCB1/CCL5/VIPR1/NR1I2/PTGS2/CDX2/TNF/GPX1/IL10	230	3	0.116392459607595	0.116392459607595	ABCB1/PLAUR/PTGS2
ADMA	301	11	4.59770408803571e-07	6.64112812716269e-07	IFNG/IL4/KDR/STAT3/ICAM1/PTGS2/TLR4/IL6/TNF/IL10/IL17A	13	0	NA	NA	NA	1070	22	2.35939082619666e-08	1.415634495718e-07	MEFV/CXCL6/IL4/SELL/IL6/STAT3/ICAM1/CCL5/CXCL16/IL13/APLN/IL8/MMP1/VIPR1/ITGAL/CXCL9/PTGS2/VEGFA/TLR4/TNF/IL10/IDO1
C14 carnitine	0	0	NA	NA	NA	0	0	NA	NA	NA	36	0	NA	NA	NA
C14:0 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
C16 carnitine	0	0	NA	NA	NA	0	0	NA	NA	NA	36	0	NA	NA	NA
C16:0 CE	0	0	NA	NA	NA	0	0	NA	NA	NA	11	0	NA	NA	NA
